Item,type,selling_price,original_price,discount_perc,rating,Total_ratings,Delivery by,Delivery_time
"4 PCS Magic Practice Copybook For Kids, English Reusabl...","Paperback, Generic",179,599,70,4.2,2450,Free delivery,Hot Deal
Math Concept King - All Formulas And Theorems Latest 20...,"Perfect Binding, Gagan Pratap Sir",189,200,5,4.4,26148,Free delivery,
SSC Reasoning 7200 TCS MCQ Chapter Wise 4th Edition Eng...,"Paperback, Pinnacle Publications",499,770,35,4.5,1816,Free delivery by, Today
SSC General Studies 6500 TCS MCQ Chapter Wise English M...,"Paperback, Pinnacle Publications",499,650,23,4.6,1934,Free delivery by, Today
SSC Maths 6800 TCS MCQ Chapter Wise I 4th Edition I Eng...,"Paperback, Pinnacle Publications",499,770,35,4.5,2100,Free delivery by, Today
SSC General Studies 6500 TCS MCQ Chapter Wise Hindi Med...,"Paperback, Hindi, Pinnacle Publications",489,640,23,4.4,1679,Free delivery by, Today
SSC Reasoning 7200 TCS MCQ Chapter Wise 4th Edition Hin...,"Paperback, Hindi, Pinnacle Publications",489,760,35,4.5,1624,Free delivery by, Today
Indian Polity,"English, Paperback, Laxmikanth M",759,1045,27,4.6,576,Free delivery,
The Reasoning Formula Book,"Paperback, Hindi, Rakesh Yadav",129,,,4.3,1055,Free delivery by, Today
SSC Maths 6800 TCS MCQ Chapter Wise I 4th Edition I Hin...,"Paperback, Hindi, Pinnacle Publications",489,760,35,4.4,1815,Free delivery by, Today
The Viral Maths | Brahmastra For Maths Calculation (Eng...,"Paperback, Adda247 Publications",149,219,31,4.6,938,Free delivery,
General Knowledge  - Lucent Gk(English) with 2 Disc,"English, Paperback, unknown",255,315,19,4.5,56305,Free delivery,
Ankit Bhati UPSSSC PET 2022 New Edition,"Paperback, Hindi, Ankit Bhati",348,399,12,4.3,3365,Delivery by, Today
SSC English 7600 TCS MCQ Chapter Wise With Detailed Exp...,"Paperback, Hindi, Pinnacle Publications",489,760,35,4.5,937,Free delivery by, Today
SSC General Studies Theory Book Hindi Medium,"Paperback, Hindi, Pinnacle Publications",495,775,36,4.4,385,Free delivery by, Today
My First Picture Library Box Of 10 Board Books (Pre-Sch...,"Board book, Sawan",399,999,60,4.5,16149,Free delivery by, Today
SURA`S 7th Standard 5-In-1 Term 1 Exam Guide In English...,"Paperback, A panel of Authors",382,450,15,4.5,40,Free delivery,Lowest price since launch
"History,Geography,polity And Economics By Khan Sir..Cla...","Paperback, Hindi, Kiran publication",563,649,13,4.4,2406,Free delivery,
Delhi Police Constable Computer Knowledge Theory + MCQ ...,"Paperback, Hindi, Pinnacle Publications",248,330,24,4.7,78,Free delivery by, Today
SSC General Studies Theory Book English Medium,"Paperback, Pinnacle Publications",499,825,39,4.3,562,Free delivery by, Today
SSC REASONING CGL WARRIOR TCS All New Question Update T...,"Paperback, Hindi, Vikramjeet Sir",210,275,23,4.5,1119,Free delivery,
